open,high,low,close,volume,date
16437.240234375,16456.119140625,16153.33984375,16170.2197265625,,04/10/2014
16168.8701171875,16168.8701171875,16015.3203125,16026.75,,04/11/2014
16028.2900390625,16184.759765625,16028.2900390625,16173.240234375,,04/14/2014
16173.490234375,16272.9501953125,16063.2001953125,16262.5595703125,,04/15/2014
16266.23046875,16424.849609375,16266.23046875,16424.849609375,,04/16/2014
16424.140625,16460.490234375,16368.1396484375,16408.5390625,,04/17/2014
16408.919921875,16459.779296875,16402.080078125,16449.25,,04/21/2014
16449.380859375,16565.7109375,16449.380859375,16514.369140625,,04/22/2014
16513.73046875,16525.990234375,16477.279296875,16501.650390625,,04/23/2014
16503.390625,16541.259765625,16452.30078125,16501.650390625,,04/24/2014
16503.259765625,16503.259765625,16333.7802734375,16361.4599609375,,04/25/2014
16363.2001953125,16500.369140625,16312.66015625,16448.740234375,,04/28/2014
16451.1796875,16559.390625,16451.1796875,16535.369140625,,04/29/2014
16534.859375,16592.279296875,16510.869140625,16580.83984375,,04/30/2014
16580.259765625,16604.7890625,16525.25,16558.869140625,,05/01/2014
16562.33984375,16620.060546875,16488.310546875,16512.890625,,05/02/2014
16509.75,16547.919921875,16377.08984375,16530.55078125,,05/05/2014
16529.849609375,16529.849609375,16399.990234375,16401.01953125,,05/06/2014
16401.66015625,16522.939453125,16357.349609375,16518.5390625,,05/07/2014
16518.16015625,16622.94921875,16502.009765625,16550.970703125,,05/08/2014
16551.23046875,16588.76953125,16498.7109375,16583.33984375,,05/09/2014
16584.8203125,16704.83984375,16584.8203125,16695.470703125,,05/12/2014
16695.919921875,16735.509765625,16695.919921875,16715.439453125,,05/13/2014
16716.080078125,16717.560546875,16595.0,16613.970703125,,05/14/2014
16613.51953125,16622.900390625,16397.4609375,16446.810546875,,05/15/2014
16447.3203125,16498.990234375,16414.3203125,16491.310546875,,05/16/2014
16490.349609375,16526.259765625,16442.119140625,16511.859375,,05/19/2014
16511.220703125,16511.220703125,16341.2998046875,16374.3095703125,,05/20/2014
16376.169921875,16544.599609375,16376.169921875,16533.060546875,,05/21/2014
16532.740234375,16565.390625,16489.609375,16543.080078125,,05/22/2014
16544.490234375,16613.0703125,16544.490234375,16606.26953125,,05/23/2014
16607.419921875,16688.689453125,16607.419921875,16675.5,,05/27/2014
16674.98046875,16674.98046875,16620.220703125,16633.1796875,,05/28/2014
16637.740234375,16698.740234375,16620.4296875,16698.740234375,,05/29/2014
16697.330078125,16721.220703125,16648.849609375,16717.169921875,,05/30/2014
16716.849609375,16756.640625,16682.0703125,16743.630859375,,06/02/2014
16736.69921875,16736.69921875,16690.009765625,16722.33984375,,06/03/2014
16720.0,16742.91015625,16673.650390625,16737.529296875,,06/04/2014
16739.140625,16845.810546875,16709.94921875,16836.109375,,06/05/2014
16839.640625,16924.279296875,16839.640625,16924.279296875,,06/06/2014
16926.080078125,16970.169921875,16912.919921875,16943.099609375,,06/09/2014
16940.400390625,16946.33984375,16897.439453125,16945.919921875,,06/10/2014
16943.16015625,16943.16015625,16821.849609375,16843.880859375,,06/11/2014
16840.48046875,16841.5703125,16703.73046875,16734.189453125,,06/12/2014
16734.640625,16787.890625,16718.599609375,16775.740234375,,06/13/2014
16765.560546875,16802.140625,16722.859375,16781.009765625,,06/16/2014
