capital_policy_1,dailyReturn_policy_1,reward_policy_1,strategyVolatility_policy_1,risk_policy_1,risk_wocbf_policy_1,capital_wocbf_policy_1,dailySR_policy_1,dailySR_wocbf_policy_1,riskAccepted_policy_1,ctrlWeight_policy_1,solvable_flag_policy_1,risk_pred_policy_1,final_action_abssum_policy_1,rl_action_abssum_policy_1,cbf_action_abssum_policy_1,downsideAtVol_risk_policy_1,downsideAtValue_risk_policy_1,cvar_policy_1,cvar_raw_policy_1,capital_policy_best,dailyReturn_policy_best,reward_policy_best,strategyVolatility_policy_best,risk_policy_best,risk_wocbf_policy_best,capital_wocbf_policy_best,dailySR_policy_best,dailySR_wocbf_policy_best,riskAccepted_policy_best,ctrlWeight_policy_best,solvable_flag_policy_best,risk_pred_policy_best,final_action_abssum_policy_best,rl_action_abssum_policy_best,cbf_action_abssum_policy_best,downsideAtVol_risk_policy_best,downsideAtValue_risk_policy_best,cvar_policy_best,cvar_raw_policy_best
977445.6993583299,-0.008873926861609763,-8.637632407115746,0.08658084573392541,0.006462399705254793,0.006462399710147012,977444.5984718804,-8.878044466192279,-8.878048210441108,0.017,1.0,0,0.007935612039893845,1.0,0.9999999925494194,5.5100814878706995e-08,0.06304089099876826,-0.022554300641670078,0.021462274783267843,0.021462274731979196,977445.6993583299,-0.008873926861609763,-8.637632407115746,0.08658084573392541,0.006462399705254793,0.006462399710147012,977444.5984718804,-8.878044466192279,-8.878048210441108,0.017,1.0,0,0.007935612039893845,1.0,0.9999999925494194,5.5100814878706995e-08,0.06304089099876826,-0.022554300641670078,0.021462274783267843,0.021462274731979196
964858.3844477851,-0.012877763868425691,-12.698322638714263,0.09369486740429978,0.008479340868845423,0.00847936260963792,964857.2972602342,-7.268853464096066,-7.268834862392986,0.017,1.0,0,0.011123327072796745,1.0,1.0000000958680175,0.00010863983643962611,0.06898756921845409,-0.035141615552214955,0.030595506432047424,0.030595509780551464,964858.3844477851,-0.012877763868425691,-12.698322638714263,0.09369486740429978,0.008479340868845423,0.00847936260963792,964857.2972602342,-7.268853464096066,-7.268834862392986,0.017,1.0,0,0.011123327072796745,1.0,1.0000000958680175,0.00010863983643962611,0.06898756921845409,-0.035141615552214955,0.030595506432047424,0.030595509780551464
968051.2283557733,0.003309132158099571,3.4412251353525924,0.09298621195962427,0.007343337986913927,0.007343338764113299,968050.1377342138,11.002145573343157,11.002145249052884,0.017,1.0,0,0.0069014674406478625,1.0,1.0000000298023224,1.1070345617541851e-07,0.06939601658575197,-0.031948771644226714,0.01231594727604009,0.012315948721269432,968051.2283557733,0.003309132158099571,3.4412251353525924,0.09298621195962427,0.007343337986913927,0.007343338764113299,968050.1377342138,11.002145573343157,11.002145249052884,0.017,1.0,0,0.0069014674406478625,1.0,1.0000000298023224,1.1070345617541851e-07,0.06939601658575197,-0.031948771644226714,0.01231594727604009,0.012315948721269432
989880.7256590136,0.022549940193059375,22.53974633876807,0.12070114380816521,0.012985768512071933,0.012985769035138829,989879.6110238491,1332.689471897028,1332.6896156693076,0.017,1.0,0,0.012936575362320091,1.0,1.0000000419095159,6.055783755910506e-08,0.07743742223245594,-0.010119274340986362,0.003524346779873809,0.003524346814083215,989880.7256590136,0.022549940193059375,22.53974633876807,0.12070114380816521,0.012985768512071933,0.012985769035138829,989879.6110238491,1332.689471897028,1332.6896156693076,0.017,1.0,0,0.012936575362320091,1.0,1.0000000419095159,6.055783755910506e-08,0.07743742223245594,-0.010119274340986362,0.003524346779873809,0.003524346814083215
998083.0943452668,0.00828621921170601,8.434934243623816,0.121368162920092,0.011820613460442496,0.011820607885233342,998076.052779557,37.219360875034404,37.15572098462477,0.017,1.0,0,0.014746184034881052,1.0000000000000002,0.9999999906867743,1.7137177726546505e-06,0.07913082625536132,-0.0019169056547332364,0.01629951782817571,0.016299503053582413,998083.0943452668,0.00828621921170601,8.434934243623816,0.121368162920092,0.011820613460442496,0.011820607885233342,998076.052779557,37.219360875034404,37.15572098462477,0.017,1.0,0,0.014746184034881052,1.0000000000000002,0.9999999906867743,1.7137177726546505e-06,0.07913082625536132,-0.0019169056547332364,0.01629951782817571,0.016299503053582413
1001642.3098033831,0.003566051241906941,3.7074832336808057,0.11936676392410835,0.010265718203793078,0.01064801494451181,1001680.7793900382,8.81041820003746,8.6612605432948,0.017,1.0,0,0.01427971545715158,1.0,0.9999999534338713,0.07101139053114652,0.07880690171640352,0.0016423098033830907,0.016966030314271748,0.01769018481156346,1001642.3098033831,0.003566051241906941,3.7074832336808057,0.11936676392410835,0.010265718203793078,0.01064801494451181,1001680.7793900382,8.81041820003746,8.6612605432948,0.017,1.0,0,0.01427971545715158,1.0,0.9999999534338713,0.07101139053114652,0.07880690171640352,0.0016423098033830907,0.016966030314271748,0.01769018481156346
997836.4837681663,-0.0037995859379820556,-4.164408602758246,0.11758113633577791,0.009662503929238413,0.011443706752256113,996415.0875204862,-4.12955045384973,-4.137475399605405,0.017,1.0,0,0.011986567103999094,1.0,0.9999999525025487,0.38792548008144156,0.07677955142920168,-0.002163516231833751,0.023966857999085593,0.028946154092987987,997836.4837681663,-0.0037995859379820556,-4.164408602758246,0.11758113633577791,0.009662503929238413,0.011443706752256113,996415.0875204862,-4.12955045384973,-4.137475399605405,0.017,1.0,0,0.011986567103999094,1.0,0.9999999525025487,0.38792548008144156,0.07677955142920168,-0.002163516231833751,0.023966857999085593,0.028946154092987987
1008830.4408408176,0.011017794249348834,11.164650832791903,0.12015959120919606,0.010475718555873616,0.010475718884935386,1007393.3838351711,89.0204600537188,89.020454721477,0.017,1.0,0,0.008464752305349684,1.0000000000000002,0.9999999366700649,3.959466783274211e-08,0.07912415082949832,0.008830440840817744,0.010132895735011818,0.010132896191185395,1008830.4408408176,0.011017794249348834,11.164650832791903,0.12015959120919606,0.010475718555873616,0.010475718884935386,1007393.3838351711,89.0204600537188,89.020454721477,0.017,1.0,0,0.008464752305349684,1.0000000000000002,0.9999999366700649,3.959466783274211e-08,0.07912415082949832,0.008830440840817744,0.010132895735011818,0.010132896191185395
1012929.421430248,0.004063101611023936,4.156365553795687,0.11843752555400625,0.006491460167238694,0.00649146225373953,1011486.52259196,17.095710429168328,17.09568529385293,0.017,1.0,0,0.00943379961725783,1.0,1.000000087544322,1.91072762682195e-06,0.0788777638036187,0.012929421430248,0.009910969194689078,0.009910976219633917,1012929.421430248,0.004063101611023936,4.156365553795687,0.11843752555400625,0.006491460167238694,0.00649146225373953,1011486.52259196,17.095710429168328,17.09568529385293,0.017,1.0,0,0.00943379961725783,1.0,1.000000087544322,1.91072762682195e-06,0.0788777638036187,0.012929421430248,0.009910969194689078,0.009910976219633917
1017511.5910101166,0.004523681001780642,4.709712313688439,0.11691089539737622,0.006605178297871092,0.006605173012215799,1016062.2085203485,20.047548784398913,20.047886176045235,0.017,1.0,0,0.007788096688720035,1.0,0.9999999981373549,2.1976243670740636e-06,0.07873658645739283,0.01751159101011668,0.008802055678323362,0.008802000457047765,1017511.5910101166,0.004523681001780642,4.709712313688439,0.11691089539737622,0.006605178297871092,0.006605173012215799,1016062.2085203485,20.047548784398913,20.047886176045235,0.017,1.0,0,0.007788096688720035,1.0,0.9999999981373549,2.1976243670740636e-06,0.07873658645739283,0.01751159101011668,0.008802055678323362,0.008802000457047765
